datetime,count
Tue Jan 20 2015 00:00:00 GMT-0500 (EST),1
Thu Jan 22 2015 00:00:00 GMT-0500 (EST),1
Thu Jan 29 2015 00:00:00 GMT-0500 (EST),1
Thu Feb 26 2015 00:00:00 GMT-0500 (EST),1
Tue Mar 24 2015 00:00:00 GMT-0400 (EDT),1
Mon Apr 20 2015 00:00:00 GMT-0400 (EDT),1
Mon May 25 2015 00:00:00 GMT-0400 (EDT),1
Wed May 27 2015 00:00:00 GMT-0400 (EDT),3
Wed Jun 03 2015 00:00:00 GMT-0400 (EDT),2
Tue Jun 09 2015 00:00:00 GMT-0400 (EDT),1
Tue Jul 28 2015 00:00:00 GMT-0400 (EDT),1
Thu Jul 30 2015 00:00:00 GMT-0400 (EDT),2
Tue Sep 08 2015 00:00:00 GMT-0400 (EDT),1
Wed Sep 09 2015 00:00:00 GMT-0400 (EDT),1
Tue Sep 15 2015 00:00:00 GMT-0400 (EDT),1
Wed Sep 16 2015 00:00:00 GMT-0400 (EDT),1
Wed Oct 14 2015 00:00:00 GMT-0400 (EDT),1
Fri Nov 06 2015 00:00:00 GMT-0500 (EST),1
Sun Nov 08 2015 00:00:00 GMT-0500 (EST),2
Thu Dec 17 2015 00:00:00 GMT-0500 (EST),1
Wed Dec 23 2015 00:00:00 GMT-0500 (EST),1
Tue Feb 02 2016 00:00:00 GMT-0500 (EST),1
Sun Feb 21 2016 00:00:00 GMT-0500 (EST),1
Tue Feb 23 2016 00:00:00 GMT-0500 (EST),1
Wed Feb 24 2016 00:00:00 GMT-0500 (EST),3
Wed Mar 30 2016 00:00:00 GMT-0400 (EDT),1
Sun May 08 2016 00:00:00 GMT-0400 (EDT),1
Mon May 09 2016 00:00:00 GMT-0400 (EDT),1
Sun Jun 19 2016 00:00:00 GMT-0400 (EDT),1
Mon Jun 20 2016 00:00:00 GMT-0400 (EDT),1
Tue Jun 21 2016 00:00:00 GMT-0400 (EDT),5
Mon Jul 18 2016 00:00:00 GMT-0400 (EDT),2
Tue Jul 19 2016 00:00:00 GMT-0400 (EDT),1
Sun Jul 24 2016 00:00:00 GMT-0400 (EDT),1
Mon Jul 25 2016 00:00:00 GMT-0400 (EDT),1
Mon Aug 15 2016 00:00:00 GMT-0400 (EDT),1
Sun Oct 02 2016 00:00:00 GMT-0400 (EDT),1
Tue Oct 11 2016 00:00:00 GMT-0400 (EDT),1
Wed Nov 02 2016 00:00:00 GMT-0400 (EDT),2
Tue Nov 08 2016 00:00:00 GMT-0500 (EST),1
Tue Jan 10 2017 00:00:00 GMT-0500 (EST),1
Wed Feb 08 2017 00:00:00 GMT-0500 (EST),1
Tue Feb 14 2017 00:00:00 GMT-0500 (EST),1
Wed Apr 26 2017 00:00:00 GMT-0400 (EDT),1
